id,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,bed_type,price,price_r,minimum_nights,review,reviews_per_month
10988680,Mission District,37.75418395,-122.4065138,Private room,2,1,1,Real Bed,49,Low,1,Very High,0.07
8053481,Mission District,37.75416621,-122.4215336,Entire home/apt,4,2,3,Real Bed,220,High,3,High,0.49
14011173,Mission District,37.75850584,-122.4061523,Private room,1,1,1,Real Bed,100,Low,7,Medium,0.27
16142131,Mission District,37.75654875,-122.4220251,Entire home/apt,4,1,2,Real Bed,117,Medium,4,Very High,0.48
936209,Mission District,37.75949488,-122.4248737,Private room,1,1,1,Real Bed,162,High,2,High,1.27
7048973,Mission District,37.76099687,-122.4131237,Entire home/apt,4,2,2,Real Bed,230,High,2,Medium,0.35
7998215,Mission District,37.75054282,-122.4165585,Private room,2,1,1,Real Bed,173,High,1,Very High,2.56
10406646,Mission District,37.75724642,-122.4093147,Entire home/apt,4,2,3,Real Bed,250,High,2,Medium,2.77
4558566,Mission District,37.74932935,-122.4107925,Entire home/apt,6,3,4,Real Bed,300,Very High,3,Medium,0.83
2771688,Mission District,37.7513531,-122.4176588,Entire home/apt,4,2,2,Real Bed,189,High,30,Medium,3.67
5020057,Mission District,37.75199246,-122.4042105,Private room,2,1,1,Real Bed,130,Medium,2,High,4.36
4925354,Mission District,37.76652079,-122.4246601,Private room,1,1,1,Real Bed,95,Low,1,Medium,3.11
13863669,Mission District,37.75995514,-122.4241064,Entire home/apt,6,3,3,Real Bed,325,Very High,2,Medium,1.95
5394755,Mission District,37.75870167,-122.42124,Private room,3,1,2,Real Bed,119,Medium,3,Medium,3.43
8861480,Mission District,37.76147949,-122.4157135,Private room,2,1,1,Real Bed,134,Medium,3,Very High,0.17
14139656,Mission District,37.75939066,-122.4211674,Entire home/apt,6,3,3,Real Bed,490,Very High,2,Very High,1.2
7802522,Mission District,37.74961782,-122.4181314,Private room,2,1,1,Real Bed,140,Medium,1,Very High,0.21
15470227,Mission District,37.75958581,-122.4100011,Entire home/apt,2,1,1,Real Bed,185,High,2,Medium,1.4
1117756,Mission District,37.7505213,-122.4073568,Private room,2,1,1,Real Bed,113,Medium,2,High,6.22
7228772,Mission District,37.76888719,-122.4240599,Entire home/apt,2,0,1,Real Bed,155,High,1,High,0.57
4624467,Mission District,37.75506955,-122.4168171,Private room,2,1,1,Real Bed,169,High,2,High,0.53
856123,Mission District,37.7622065,-122.4198954,Private room,1,1,1,Real Bed,186,High,28,Very High,0.66
9490490,Mission District,37.753852,-122.4111577,Private room,2,1,1,Real Bed,77,Low,1,Very High,0.18
865873,Mission District,37.76251893,-122.4242846,Entire home/apt,4,2,2,Real Bed,250,High,5,High,0.3
6834158,Mission District,37.76531007,-122.4246905,Entire home/apt,3,0,1,Real Bed,235,High,1,High,0.46
13846498,Mission District,37.76362666,-122.4253853,Private room,2,1,1,Real Bed,80,Low,1,Low,0.23
1101403,Mission District,37.7681406,-122.4253676,Entire home/apt,5,2,3,Real Bed,300,Very High,2,Very High,0.5
15566812,Mission District,37.75866765,-122.42388,Entire home/apt,3,1,2,Real Bed,200,High,7,Very High,0.22
16173016,Mission District,37.76148205,-122.4092539,Entire home/apt,2,1,1,Real Bed,200,High,1,Medium,1.6
63405,Mission District,37.75399609,-122.4177063,Entire home/apt,2,1,1,Real Bed,125,Medium,2,Medium,1.89
17697262,Mission District,37.75813182,-122.4141177,Private room,2,1,2,Real Bed,79,Low,1,Very High,3
13043340,Mission District,37.75754497,-122.4201252,Entire home/apt,2,0,1,Real Bed,115,Medium,5,High,0.47
2049672,Mission District,37.76249605,-122.422603,Entire home/apt,6,4,4,Real Bed,575,Very High,4,Medium,0.33
16272594,Mission District,37.7580424,-122.4211011,Private room,1,1,1,Airbed,65,Low,2,High,1.91
11259062,Mission District,37.75239754,-122.4244804,Entire home/apt,2,0,1,Real Bed,159,High,1,High,3.52
